;qf_shls_entl;qf_shls_sat;qf_shid_entl;qf_shid_sat;qf_shlid_entl;shid_entl;qf_shidlia_entl;qf_shidlia_sat;shidlia_entl;qf_bsl_sat;qf_bsllia_sat;Overall;VBS
Asterix;5;5;0;0;0;0;0;0;0;0;0;10;
ComSPEN;1;3;0;0;0;0;3;4;0;0;0;11;
CVC4-SL;0;0;0;0;0;0;0;0;0;5;5;10;
Cyclist-SL;0;0;2;0;2;3;0;0;0;0;0;7;
Harrsh;0;0;3;3;3;0;0;0;0;0;0;9;
S2S;4;4;5;5;5;5;5;5;5;0;0;43;
SLEEK;0;2;1;4;1;0;0;2;0;0;0;10;
SLIDE;0;0;0;0;0;1;0;0;0;0;0;1;
SLSAT;0;0;0;4;0;0;0;0;0;0;0;4;
Songbird;2;0;4;2;4;4;4;3;4;0;0;27;
SPEN;3;1;0;0;0;0;0;0;0;0;0;4;