benchmark,COMSPEN2019-22337,Harrsh-22687,SLEEK-20564,Songbird-20617,s2s.0.3.3-22440,VBS
qf_shidlia_entl/dll_len_entails_lspre_len_num-2.sb.smt2,none,none,none,86.7219,0.178052,s2s.0.3.3
qf_shidlia_entl/sls_join_2_unk_upper_bnd.sb.smt2,none,none,none,4.64,0.090862,s2s.0.3.3
qf_shidlia_entl/ls-entl-06.smt2,0.093571,none,0.170389,0.01698,0.103808,Songbird
qf_shidlia_entl/dll-entl-07.smt2,0.508747,none,0.137992,0.115775,0.121774,Songbird
qf_shidlia_entl/ls-entl-02.smt2,0.094962,none,0.192485,0.04839,0.121229,Songbird
qf_shidlia_entl/dll_len_nil_tl_entails_dllnull_len_num-2.sb.smt2,none,none,none,14.21,0.174825,s2s.0.3.3
qf_shidlia_entl/dll-entl-03.smt2,2.17212,none,none,none,0.228412,s2s.0.3.3
qf_shidlia_entl/ls_append_node.sb.smt2,none,none,none,1.81,0.099549,s2s.0.3.3
qf_shidlia_entl/sls_join_4_no_cond.sb.smt2,none,none,none,7.06,0.16409,s2s.0.3.3
qf_shidlia_entl/dll_len_entails_ls_len_num-1.sb.smt2,none,none,none,1.79,0.177461,s2s.0.3.3
qf_shidlia_entl/dll_len_append_tail_entails_dllnull_num-1.sb.smt2,none,none,none,15.75,0.173944,s2s.0.3.3
qf_shidlia_entl/dll_len_entails_lsrev_len.sb.smt2,none,none,none,0.178967,0.168858,s2s.0.3.3
qf_shidlia_entl/dll-entl-13.smt2,7.04386,none,none,0.586435,0.206051,s2s.0.3.3
qf_shidlia_entl/dll_len_append_tail_entails_dllnull.sb.smt2,none,none,none,2.63,0.174852,s2s.0.3.3
qf_shidlia_entl/dll_len_entails_lsrev_len_num-1.sb.smt2,none,none,none,5.86,0.171131,s2s.0.3.3
qf_shidlia_entl/sls_join_2_unk_lower_bnd.sb.smt2,none,none,none,4.78,0.091861,s2s.0.3.3
qf_shidlia_entl/sls_join_3.sb.smt2,none,none,none,82.56,0.107124,s2s.0.3.3
qf_shidlia_entl/sls_join_2_known_bnd.sb.smt2,none,none,none,3.24,0.097655,s2s.0.3.3
qf_shidlia_entl/dll_len_append_dllnull_len_entails_dllnull_len_num-1.sb.smt2,none,none,none,47.29,0.175102,s2s.0.3.3
qf_shidlia_entl/sls_join_3_unk_upper_bnd.sb.smt2,none,none,none,7.08,0.109473,s2s.0.3.3
qf_shidlia_entl/dll-entl-12.smt2,0.547948,none,0.240678,4.17,0.118704,s2s.0.3.3
qf_shidlia_entl/sls_join_2.sb.smt2,none,none,none,2.81,0.091296,s2s.0.3.3
qf_shidlia_entl/ls-entl-07.smt2,0.31048,none,none,none,0.187104,s2s.0.3.3
qf_shidlia_entl/dll-entl-06.smt2,4.17222,none,none,0.3314,0.203117,s2s.0.3.3
qf_shidlia_entl/dll_len_nil_tl_entails_dllnull_len.sb.smt2,none,none,0.119883,2.63,0.174521,SLEEK
qf_shidlia_entl/ls-entl-03.smt2,0.25715,none,none,115.99,0.104069,s2s.0.3.3
qf_shidlia_entl/dll-entl-02.smt2,5.04762,none,none,0.771738,0.203227,s2s.0.3.3
qf_shidlia_entl/sls_join_3_unk_lower_bnd.sb.smt2,none,none,none,76.49,0.109544,s2s.0.3.3
qf_shidlia_entl/dll_len_entails_ls_len.sb.smt2,none,none,0.166799,0.088753,0.181607,Songbird
qf_shidlia_entl/sls_join_4_1_cond_unk_both.sb.smt2,none,none,none,88.24,0.141379,s2s.0.3.3
qf_shidlia_entl/dll_len_append_tail_entails_dllnull_num-2.sb.smt2,none,none,none,29.86,0.167879,s2s.0.3.3
qf_shidlia_entl/dll_len_append_dllnull_len_entails_dllnull_len.sb.smt2,none,none,none,4.25,0.174277,s2s.0.3.3
qf_shidlia_entl/dll-entl-14.smt2,7.11861,none,none,0.6,0.204979,s2s.0.3.3
qf_shidlia_entl/dll_len_append_dllnull_len_entails_dllnull_len_num-3.sb.smt2,none,none,none,6.37,0.171125,s2s.0.3.3
qf_shidlia_entl/dll_len_entails_lspre_len.sb.smt2,none,none,none,0.101881,0.183233,Songbird
qf_shidlia_entl/sls_join_4_1_cond_unk_upper_bnd.sb.smt2,none,none,none,7.13,0.155601,s2s.0.3.3
qf_shidlia_entl/dll-entl-10.smt2,0.870166,none,0.24935,0.241534,0.120451,s2s.0.3.3
qf_shidlia_entl/dll-entl-08.smt2,0.853375,none,none,0.024387,0.125574,Songbird
qf_shidlia_entl/dll_len_entails_lsrev_len_num-2.sb.smt2,none,none,none,51.27,0.170682,s2s.0.3.3
qf_shidlia_entl/sls_join_3_2_cond.sb.smt2,none,none,none,82.11,0.10654,s2s.0.3.3
qf_shidlia_entl/sls_join_4_1_cond_unk_lower_bnd.sb.smt2,none,none,none,7.07,0.155497,s2s.0.3.3
qf_shidlia_entl/dll-entl-04.smt2,0.072497,none,none,none,0.222333,COMSPEN2019
qf_shidlia_entl/ls-entl-05.smt2,0.237932,none,0.206227,0.051559,0.1021,Songbird
qf_shidlia_entl/dll_len_entails_lspre_len_num-1.sb.smt2,none,none,none,5.89,0.186536,s2s.0.3.3
qf_shidlia_entl/ls-entl-01.smt2,none,none,none,1.35,0.012403,s2s.0.3.3
qf_shidlia_entl/dll_len_entails_ls_len_num-2.sb.smt2,none,none,none,22.67,0.184402,s2s.0.3.3
qf_shidlia_entl/sls_join_4_3_cond.sb.smt2,none,none,none,133.85,0.133695,s2s.0.3.3
qf_shidlia_entl/dll_len_nil_tl_entails_dllnull_len_num-1.sb.smt2,none,none,none,6.31,0.175204,s2s.0.3.3
qf_shidlia_entl/sls_join_4_2_cond_unk_upper_bnd.sb.smt2,none,none,none,90.41,0.137415,s2s.0.3.3
qf_shidlia_entl/dll-entl-05.smt2,4.6333,none,none,0.554512,0.204127,s2s.0.3.3
qf_shidlia_entl/ls-entl-04.smt2,0.301847,none,0.266013,0.059039,0.129306,Songbird
qf_shidlia_entl/dll-entl-01.smt2,6.26181,none,none,136.11,0.120553,s2s.0.3.3
qf_shidlia_entl/sls_join_3_no_cond.sb.smt2,none,none,none,7.06,0.115808,s2s.0.3.3
qf_shidlia_entl/dll-entl-15.smt2,7.29699,none,none,0.62,0.20746,s2s.0.3.3
qf_shidlia_entl/tseg_size_join_tree_size_entail_tree.sb.smt2,none,none,none,5.52,0.22549,s2s.0.3.3
qf_shidlia_entl/dll_len_append_dllnull_len_entails_dllnull_len_num-2.sb.smt2,none,none,none,19.22,0.171462,s2s.0.3.3
qf_shidlia_entl/dll-entl-11.smt2,0.544166,none,0.21609,0.020789,0.134461,Songbird
qf_shidlia_entl/sls_join_2_no_cond.sb.smt2,none,none,none,4.66,0.093415,s2s.0.3.3
qf_shidlia_entl/sls_join_4_2_cond_unk_lower_bnd.sb.smt2,none,none,none,90.76,0.140364,s2s.0.3.3
qf_shidlia_entl/ls_combine_ls.sb.smt2,none,none,none,7.13,0.101772,s2s.0.3.3
qf_shidlia_entl/dll-entl-09.smt2,0.344753,none,0.077009,0.019362,0.120865,Songbird
Total,1,0,1,10,49,ALL
